Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,127.200,5.240,3.457,4.133,4.566,5.116,5.821,6.417,22.509,69.037,0.191
335,129.600,5.978,3.516,4.222,4.671,5.327,6.114,6.776,47.508,219.448,0.167
340,128.200,6.182,3.319,4.225,4.813,5.867,9.996,11.645,20.691,85.045,0.162
345,130.800,7.189,3.581,4.303,5.110,9.257,12.065,13.373,26.248,72.684,0.139
350,123.000,4.659,3.581,4.075,4.437,4.901,5.607,6.096,7.571,16.729,0.215
355,129.400,5.433,3.578,4.195,4.639,5.260,5.994,6.750,31.738,71.426,0.184
360,127.600,9.285,3.200,4.157,4.930,9.971,17.293,20.809,90.819,120.469,0.108
365,130.200,6.084,3.426,4.555,5.174,6.074,7.500,8.925,34.902,48.589,0.164
370,133.800,5.182,3.189,4.137,4.511,5.082,5.952,6.564,14.297,208.666,0.193
375,128.400,6.131,3.476,4.240,4.816,6.884,10.873,12.253,15.426,16.785,0.163
380,126.600,5.912,3.318,4.035,4.597,6.741,10.823,11.871,13.979,17.961,0.169
385,126.000,5.038,3.420,4.077,4.414,4.996,5.596,5.923,16.720,70.142,0.198
390,127.800,5.073,3.402,4.050,4.373,4.867,5.558,6.049,19.304,85.893,0.197
395,134.200,4.774,3.560,4.120,4.533,5.062,5.668,6.086,10.409,23.049,0.209
400,123.400,10.185,3.665,4.479,5.233,6.608,17.747,52.323,83.818,99.021,0.098
405,135.600,7.417,3.556,4.308,4.935,5.800,7.015,12.343,68.851,218.063,0.135
410,128.400,8.510,3.710,4.867,6.052,9.291,12.515,14.705,66.568,88.662,0.118
415,129.200,6.889,3.416,4.358,4.973,6.295,10.637,12.854,51.093,76.338,0.145
420,126.200,5.860,3.561,4.159,4.586,5.100,6.014,6.716,59.282,78.048,0.171
425,130.000,7.095,3.312,4.417,4.942,5.628,7.223,9.512,80.192,116.341,0.141
430,120.000,5.353,3.595,4.222,4.702,5.324,5.993,6.988,22.064,84.991,0.187
435,133.400,5.399,3.565,4.074,4.493,5.009,5.604,6.235,44.199,74.768,0.185
440,134.400,5.334,3.641,4.146,4.529,5.013,5.670,6.132,43.479,75.857,0.187
445,125.800,8.006,3.568,4.626,5.933,9.381,12.036,13.869,39.802,82.814,0.125
450,127.400,7.057,3.340,4.271,4.766,6.488,11.380,13.688,59.025,95.028,0.142
455,126.800,5.322,3.500,4.116,4.518,5.064,5.795,6.310,27.900,71.306,0.188
460,122.800,5.187,3.511,4.049,4.413,4.933,5.573,6.023,31.394,71.954,0.193
465,127.200,5.642,3.470,4.093,4.513,5.054,5.740,6.795,47.247,77.044,0.177
470,131.400,5.231,3.485,4.049,4.388,4.898,5.614,6.122,42.948,69.023,0.191
475,129.400,5.023,3.466,4.126,4.492,5.083,5.665,6.313,20.207,29.284,0.199
480,128.600,7.347,3.603,4.344,5.071,9.257,11.814,12.997,33.569,82.482,0.136
485,132.200,8.855,3.422,4.283,5.233,10.751,14.542,17.845,59.063,86.636,0.113
490,124.600,4.634,3.514,4.123,4.537,4.993,5.485,5.885,6.541,7.135,0.216
495,128.600,4.532,3.298,4.029,4.366,4.862,5.409,5.901,7.043,10.107,0.221
500,135.200,4.566,3.466,4.064,4.373,4.875,5.445,5.731,6.952,13.711,0.219
505,134.400,4.550,3.443,4.038,4.347,4.923,5.537,5.851,7.330,8.703,0.220
510,131.800,4.724,3.496,4.055,4.377,4.861,5.553,5.951,14.575,22.583,0.212
515,131.000,5.977,3.594,4.182,4.657,5.790,9.455,11.235,21.089,77.114,0.167
520,130.400,6.850,3.672,4.276,5.153,9.046,11.700,12.741,15.314,38.651,0.146
525,127.200,4.818,3.501,3.954,4.201,4.664,5.200,5.689,13.459,76.318,0.208
530,132.800,5.450,3.567,4.017,4.308,4.793,5.650,6.636,51.844,94.617,0.183
535,135.200,8.468,3.620,4.446,5.268,6.293,8.743,26.491,84.791,114.626,0.118
540,128.000,8.696,3.631,4.563,5.137,5.859,7.684,34.257,80.396,123.026,0.115
545,131.600,7.793,3.658,4.649,5.336,6.290,8.998,17.037,74.042,90.073,0.128
550,130.600,7.599,3.603,4.642,5.256,6.838,12.075,13.909,59.923,82.231,0.132
555,126.400,6.857,3.582,4.275,4.959,8.819,11.678,13.205,26.096,72.431,0.146
560,132.200,6.168,3.426,4.171,4.608,5.131,5.828,7.165,59.831,77.530,0.162
565,129.600,5.347,3.426,4.130,4.546,5.036,5.756,6.217,42.564,82.783,0.187
570,122.200,5.432,3.418,4.131,4.538,5.003,5.700,6.373,32.452,79.303,0.184
575,134.600,5.826,3.586,4.140,4.501,5.061,5.725,6.447,59.214,76.103,0.172
580,133.800,5.216,3.474,4.121,4.495,5.047,5.838,6.508,20.739,73.342,0.192
585,123.600,6.441,3.588,4.335,4.922,7.053,10.445,12.506,17.041,81.750,0.155
590,130.600,7.565,3.622,4.325,5.182,9.866,12.553,14.566,31.990,74.841,0.132
595,136.000,5.479,3.414,4.080,4.465,4.980,5.683,6.454,34.108,77.879,0.183
