Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,300.000,7.495,0.581,4.346,6.153,9.434,12.409,14.508,25.080,75.553,0.133
335,300.000,8.013,0.643,4.469,6.306,9.658,12.655,14.776,43.174,219.448,0.125
340,300.000,8.240,0.652,4.488,7.176,10.391,13.673,15.967,28.732,92.042,0.121
345,300.000,9.348,0.631,4.594,8.362,12.213,15.897,18.707,42.584,79.315,0.107
350,300.000,6.907,0.644,4.307,6.250,9.111,11.697,13.221,16.729,28.481,0.145
355,300.000,7.548,0.632,4.400,6.159,9.463,12.105,14.738,31.738,81.379,0.132
360,300.000,10.638,0.609,4.425,8.267,13.406,20.090,23.752,71.145,120.469,0.094
365,300.000,8.273,0.703,4.801,6.982,10.732,14.152,16.707,31.685,48.589,0.121
370,300.000,7.345,0.778,4.313,5.985,9.686,12.580,14.573,20.010,208.666,0.136
375,300.000,8.036,0.674,4.535,7.625,10.454,13.653,15.828,21.594,36.856,0.124
380,300.000,7.992,0.642,4.312,7.355,10.456,14.419,17.017,21.306,38.162,0.125
385,300.000,7.291,0.614,4.307,6.112,9.051,11.563,13.464,26.793,79.943,0.137
390,300.000,7.518,0.640,4.233,5.936,9.221,11.326,13.559,46.671,92.893,0.133
395,300.000,7.111,0.682,4.347,5.798,9.278,12.326,14.745,19.908,32.722,0.141
400,300.000,11.709,0.641,4.902,7.978,11.352,17.455,45.135,87.116,109.353,0.085
405,300.000,9.373,0.678,4.617,6.500,10.351,13.930,19.227,71.455,218.063,0.107
410,300.000,10.652,0.662,5.288,9.038,12.599,17.016,20.124,70.238,233.362,0.094
415,300.000,9.359,0.636,4.626,7.579,10.894,15.160,19.570,67.912,95.500,0.107
420,300.000,7.965,0.636,4.425,6.345,9.366,12.327,15.246,55.108,85.584,0.126
425,300.000,9.445,0.678,4.645,7.116,10.594,14.009,18.238,80.192,116.341,0.106
430,300.000,8.303,0.627,4.539,6.961,10.033,13.062,15.574,48.785,104.932,0.120
435,300.000,7.653,0.628,4.256,5.699,9.081,11.693,13.896,53.985,84.784,0.131
440,300.000,7.405,0.643,4.337,5.831,9.183,11.762,13.773,36.143,82.345,0.135
445,300.000,9.939,0.601,5.082,9.106,12.568,16.459,19.464,39.802,92.631,0.101
450,300.000,8.841,0.626,4.482,7.523,10.731,14.630,17.592,55.394,105.080,0.113
455,300.000,7.550,0.621,4.335,6.107,9.423,12.322,14.706,31.352,77.647,0.132
460,300.000,7.495,0.619,4.264,6.138,9.295,12.154,14.723,38.125,71.954,0.133
465,300.000,7.556,0.646,4.298,6.093,9.291,12.237,14.533,34.032,80.499,0.132
470,300.000,7.326,0.643,4.195,5.822,9.186,11.749,14.332,33.321,79.065,0.137
475,300.000,7.368,0.667,4.337,5.966,9.405,12.326,14.629,23.825,221.020,0.136
480,300.000,9.699,0.646,4.743,8.671,11.960,16.248,19.127,50.216,85.966,0.103
485,300.000,11.113,0.653,4.619,8.660,13.045,19.218,26.993,66.884,116.109,0.090
490,300.000,6.939,0.579,4.342,5.934,9.313,11.698,13.243,16.647,25.535,0.144
495,300.000,6.826,0.609,4.211,5.960,9.178,11.636,12.968,16.741,22.913,0.146
500,300.000,6.665,0.643,4.206,5.515,8.885,11.396,12.965,16.782,27.025,0.150
505,300.000,6.596,0.650,4.139,5.443,8.814,11.423,13.178,16.811,24.406,0.152
510,300.000,7.017,0.658,4.184,5.688,9.317,12.422,14.482,19.379,28.543,0.143
515,300.000,7.725,0.613,4.349,6.955,9.662,12.660,15.042,27.816,77.114,0.129
520,300.000,8.710,0.638,4.630,8.297,11.631,15.134,17.347,23.284,51.922,0.115
525,300.000,7.373,0.626,4.104,6.015,8.851,10.575,12.670,46.654,216.922,0.136
530,300.000,7.531,0.637,4.130,5.663,8.949,11.660,13.932,55.123,104.599,0.133
535,300.000,11.004,0.659,4.811,7.220,10.897,15.242,31.351,89.626,224.266,0.091
540,300.000,10.355,0.605,4.881,7.395,10.818,14.343,23.722,81.564,126.575,0.097
545,300.000,10.284,0.689,4.974,7.694,11.831,17.037,22.993,71.893,95.908,0.097
550,300.000,9.648,0.654,4.980,8.061,11.224,15.315,18.805,69.238,95.523,0.104
555,300.000,9.572,0.656,4.714,8.576,12.105,16.112,18.897,39.399,220.700,0.104
560,300.000,8.149,0.685,4.391,6.032,9.545,12.387,15.263,59.831,86.998,0.123
565,300.000,7.558,0.652,4.356,6.024,9.391,11.821,13.526,42.564,85.727,0.132
570,300.000,7.644,0.598,4.337,6.267,9.372,12.534,14.588,38.950,85.258,0.131
575,300.000,7.900,0.645,4.343,5.951,9.362,11.890,13.783,56.518,220.416,0.127
580,300.000,7.648,0.680,4.332,6.030,9.465,12.476,15.171,27.566,83.418,0.131
585,300.000,8.784,0.616,4.614,8.023,10.740,14.350,16.853,42.778,95.556,0.114
590,300.000,9.207,0.607,4.677,8.642,11.902,15.575,18.328,25.909,78.445,0.109
595,299.400,7.776,0.623,4.263,5.727,9.284,12.149,14.787,39.878,228.103,0.129
