Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,11.400,2.232,1.576,1.957,2.212,2.439,2.781,2.902,3.310,3.310,0.448
335,12.400,2.296,1.704,1.977,2.262,2.536,2.744,2.918,3.755,3.755,0.435
340,14.400,2.217,1.634,1.992,2.169,2.409,2.735,3.044,3.175,3.175,0.451
345,13.800,2.297,1.621,2.045,2.293,2.536,2.677,2.954,3.367,3.367,0.435
350,12.000,2.242,1.687,2.007,2.246,2.457,2.673,2.814,3.002,3.002,0.446
355,12.600,2.209,1.588,1.963,2.124,2.408,2.696,2.867,3.009,3.009,0.453
360,13.200,2.194,1.707,1.958,2.151,2.349,2.652,2.692,3.217,3.217,0.456
365,13.600,2.614,1.676,2.067,2.473,2.795,3.458,4.205,8.164,8.164,0.383
370,13.400,2.337,1.623,2.022,2.243,2.528,2.931,3.294,3.953,3.953,0.428
375,13.200,2.310,1.714,1.956,2.289,2.562,2.795,2.963,3.764,3.764,0.433
380,12.800,2.208,1.656,1.902,2.097,2.404,2.768,2.812,3.529,3.529,0.453
385,10.600,2.288,1.481,1.972,2.135,2.626,2.803,3.282,3.917,3.917,0.437
390,12.000,2.263,1.744,1.936,2.121,2.490,2.898,3.114,3.696,3.696,0.442
395,10.600,2.283,1.507,2.052,2.229,2.455,2.623,3.044,4.050,4.050,0.438
400,13.200,2.480,1.736,2.155,2.321,2.727,3.196,3.348,4.732,4.732,0.403
405,11.400,2.382,1.631,1.992,2.283,2.746,2.999,3.348,4.106,4.106,0.420
410,12.000,2.345,1.676,2.055,2.304,2.476,3.009,3.304,3.805,3.805,0.426
415,15.400,2.296,1.538,1.989,2.238,2.526,2.867,2.989,4.344,4.344,0.435
420,14.000,2.131,1.602,1.859,2.103,2.306,2.590,2.908,3.060,3.060,0.469
425,12.600,2.428,1.643,2.097,2.396,2.656,3.003,3.093,3.393,3.393,0.412
430,13.000,2.325,1.689,2.103,2.347,2.529,2.745,2.965,3.372,3.372,0.430
435,12.200,2.230,1.600,2.011,2.186,2.405,2.616,2.826,3.013,3.013,0.448
440,12.600,2.320,1.564,2.048,2.269,2.572,2.755,3.025,3.360,3.360,0.431
445,13.600,2.325,1.667,1.997,2.321,2.634,2.866,2.908,3.714,3.714,0.430
450,10.400,2.310,1.652,2.049,2.334,2.599,2.758,2.973,3.153,3.153,0.433
455,12.400,2.323,1.516,2.067,2.321,2.569,2.852,2.941,3.499,3.499,0.430
460,10.600,2.327,1.776,1.998,2.329,2.558,2.751,2.999,3.209,3.209,0.430
465,11.400,2.303,1.784,2.023,2.265,2.404,2.867,3.062,3.895,3.895,0.434
470,14.800,2.242,1.598,1.995,2.212,2.396,2.581,2.828,4.052,4.052,0.446
475,12.800,2.133,1.582,1.915,2.123,2.324,2.565,2.729,3.055,3.055,0.469
480,11.000,2.363,1.660,2.025,2.333,2.621,2.960,3.164,3.998,3.998,0.423
