Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,126.200,6.698,3.453,4.519,5.373,6.470,8.454,10.026,54.742,91.173,0.149
335,123.200,8.811,3.390,5.108,6.726,9.694,12.057,14.261,58.975,73.230,0.113
340,125.800,6.333,3.263,4.147,4.846,6.106,9.719,11.506,36.771,63.265,0.158
345,127.000,5.728,3.447,4.102,4.588,5.248,6.144,7.148,50.629,80.046,0.175
350,131.600,5.135,3.382,3.981,4.440,5.080,5.908,6.607,34.798,64.633,0.195
355,137.200,5.586,3.180,4.019,4.485,5.040,5.849,6.531,49.705,69.629,0.179
360,125.600,5.049,3.087,4.052,4.546,5.114,5.775,6.432,10.364,66.985,0.198
365,132.600,5.266,3.382,4.048,4.493,5.052,5.692,6.344,32.856,82.371,0.190
370,130.000,7.424,3.394,4.495,5.516,8.920,10.792,12.907,36.274,72.654,0.135
375,130.800,6.039,3.265,4.026,4.527,5.351,9.241,11.767,45.722,81.936,0.166
380,124.600,5.106,3.359,4.000,4.407,4.949,5.626,6.069,22.776,65.756,0.196
385,128.800,5.006,3.343,4.060,4.505,4.994,5.525,6.054,28.021,64.707,0.200
390,118.400,5.963,3.553,4.285,4.875,5.779,7.077,8.670,37.846,74.896,0.168
395,134.600,5.229,3.432,4.110,4.537,5.137,5.884,6.694,27.491,67.353,0.191
400,126.000,5.074,3.384,3.977,4.334,4.850,5.487,5.995,33.424,73.023,0.197
405,125.400,10.743,3.600,6.911,9.158,10.905,13.465,15.952,77.731,113.707,0.093
410,125.200,4.807,3.189,3.923,4.337,4.915,5.708,7.691,14.033,17.855,0.208
415,128.800,5.426,3.116,3.973,4.315,4.868,5.599,6.129,39.368,55.608,0.184
420,133.600,4.412,3.379,3.904,4.273,4.796,5.309,5.656,6.446,7.908,0.227
425,136.000,4.513,3.473,3.996,4.367,4.842,5.343,5.937,7.030,8.664,0.222
430,123.200,4.500,3.408,3.977,4.335,4.906,5.432,5.758,6.370,7.837,0.222
435,124.400,4.867,3.345,3.947,4.268,4.758,5.279,5.571,20.882,74.001,0.205
440,132.600,8.150,3.586,4.569,7.095,9.338,11.326,12.685,60.316,99.834,0.123
445,131.000,4.390,3.378,3.896,4.249,4.670,5.164,5.526,6.435,13.375,0.228
450,126.800,8.080,3.376,4.199,4.740,6.326,9.757,26.980,71.260,85.180,0.124
455,133.400,7.884,3.496,4.833,5.833,7.429,10.099,13.395,64.971,74.811,0.127
460,134.400,6.655,3.408,4.472,5.092,6.078,7.768,9.756,55.027,71.995,0.150
465,132.200,6.995,3.603,4.307,5.004,5.888,7.348,9.442,61.719,74.930,0.143
470,123.600,5.776,3.490,4.316,4.852,5.636,6.662,7.497,31.263,74.212,0.173
475,124.400,9.261,3.550,4.997,7.963,10.515,12.291,14.214,64.064,83.913,0.108
480,125.800,5.235,3.079,4.059,4.572,5.257,6.094,6.826,25.451,64.948,0.191
485,128.000,6.022,3.355,4.139,4.548,5.187,6.216,11.349,37.583,77.323,0.166
490,128.200,4.943,3.073,3.964,4.381,4.905,5.576,6.160,19.812,64.195,0.202
495,127.600,5.105,3.457,4.111,4.474,4.996,5.756,6.386,15.574,62.003,0.196
500,128.400,5.027,3.036,3.924,4.346,4.996,5.797,6.323,23.030,73.002,0.199
505,127.000,5.650,3.432,4.010,4.436,5.035,5.593,6.184,40.855,215.701,0.177
510,124.000,8.033,3.564,4.863,6.799,9.457,11.384,12.649,41.434,74.706,0.124
515,129.000,5.446,3.510,4.055,4.456,4.954,5.715,6.373,52.236,78.304,0.184
520,129.600,4.813,3.441,3.980,4.333,4.896,5.537,5.950,7.197,73.268,0.208
525,129.200,4.878,3.306,3.968,4.328,4.816,5.585,6.180,15.528,65.249,0.205
530,136.600,4.361,3.373,3.906,4.180,4.620,5.123,5.556,7.528,8.938,0.229
535,125.000,5.451,3.465,4.008,4.377,4.861,5.609,6.827,34.641,64.319,0.183
540,128.200,10.778,3.581,5.464,9.579,13.191,15.825,18.377,65.579,118.764,0.093
545,130.600,5.296,3.487,4.110,4.485,5.151,9.047,10.621,12.941,17.550,0.189
550,127.000,4.513,3.195,4.011,4.337,4.839,5.429,5.937,6.998,17.516,0.222
555,133.600,4.403,3.152,3.880,4.256,4.798,5.328,5.722,6.395,10.764,0.227
560,127.600,4.416,3.329,3.937,4.231,4.655,5.202,5.807,8.140,14.143,0.226
565,125.400,4.464,3.556,3.976,4.281,4.721,5.255,5.554,7.503,13.841,0.224
570,125.600,5.146,3.424,4.055,4.468,5.073,5.994,7.238,19.405,71.022,0.194
575,127.400,7.160,3.567,4.899,6.872,9.039,10.413,11.424,13.378,15.603,0.140
580,123.800,4.919,3.391,3.955,4.228,4.686,5.181,5.627,17.315,74.156,0.203
585,129.800,4.443,3.455,4.002,4.362,4.751,5.234,5.532,6.015,8.877,0.225
590,122.000,8.515,3.245,4.226,5.259,7.198,10.388,33.162,65.303,82.903,0.117
595,128.000,6.945,3.613,4.253,5.074,6.210,8.353,11.103,62.059,88.385,0.144
