Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,300.000,6.779,0.604,4.558,5.763,7.530,10.236,12.772,21.581,91.173,0.148
335,300.000,7.715,0.628,4.792,6.358,9.068,11.970,14.630,45.897,82.429,0.130
340,300.000,6.281,0.633,4.165,5.246,6.881,9.719,12.426,25.153,76.323,0.159
345,300.000,6.000,0.653,4.100,4.979,6.383,8.540,11.381,24.040,80.046,0.167
350,300.000,5.632,0.627,3.997,4.875,6.259,8.368,10.531,19.216,64.633,0.178
355,300.000,5.935,0.647,4.046,4.866,6.367,9.082,11.244,32.955,69.629,0.168
360,300.000,5.576,0.608,4.027,4.896,6.290,8.150,10.342,17.174,76.648,0.179
365,300.000,5.754,0.636,4.051,4.829,6.344,8.669,10.891,18.163,82.371,0.174
370,300.000,6.833,0.636,4.355,5.643,8.183,10.674,12.770,26.968,79.264,0.146
375,300.000,6.080,0.613,4.047,5.001,6.774,9.778,12.084,21.263,81.936,0.164
380,300.000,5.654,0.610,4.041,4.843,6.328,8.909,10.860,16.606,65.756,0.177
385,300.000,5.682,0.640,4.080,4.859,6.303,8.755,11.197,18.075,74.226,0.176
390,300.000,6.475,0.662,4.339,5.500,7.385,9.922,12.369,23.508,74.896,0.154
395,300.000,6.048,0.638,4.138,5.028,6.687,9.159,11.870,22.120,80.330,0.165
400,300.000,5.624,0.628,4.003,4.761,6.291,8.470,10.841,19.212,73.023,0.178
405,300.000,8.187,0.611,4.865,6.706,9.512,11.954,14.949,50.593,113.707,0.122
410,300.000,5.567,0.628,3.968,4.824,6.400,8.983,11.350,16.657,25.038,0.180
415,300.000,5.875,0.625,4.038,4.750,6.335,8.895,11.152,32.266,68.832,0.170
420,300.000,5.451,0.606,3.970,4.718,6.329,8.744,10.729,16.031,24.458,0.183
425,300.000,5.491,0.631,4.042,4.743,6.190,8.664,10.606,17.616,30.691,0.182
430,300.000,5.605,0.612,4.048,4.870,6.498,9.105,11.046,15.522,23.148,0.178
435,300.000,5.620,0.626,3.971,4.745,6.396,9.158,10.827,17.356,74.001,0.178
440,300.000,7.242,0.608,4.399,6.089,8.841,11.060,12.631,23.434,99.834,0.138
445,300.000,5.299,0.638,3.925,4.639,5.947,8.193,10.394,17.024,22.791,0.189
450,300.000,7.461,0.615,4.234,5.471,7.637,10.992,14.691,60.551,91.412,0.134
455,300.000,7.384,0.679,4.707,6.024,7.896,10.898,13.782,50.401,84.731,0.135
460,300.000,6.580,0.639,4.424,5.399,6.966,9.383,11.832,45.018,88.542,0.152
465,300.000,6.986,0.651,4.330,5.423,7.190,10.571,13.568,51.607,86.609,0.143
470,300.000,6.362,0.666,4.361,5.494,7.047,9.435,11.772,23.162,84.096,0.157
475,300.000,7.592,0.653,4.525,6.269,9.072,11.801,13.968,44.059,83.913,0.132
480,300.000,5.698,0.608,4.045,4.933,6.413,8.737,10.682,17.754,71.718,0.175
485,300.000,6.049,0.600,4.074,4.998,6.510,9.134,11.538,27.185,77.323,0.165
490,300.000,5.523,0.591,3.998,4.801,6.314,8.603,10.493,17.544,64.195,0.181
495,300.000,5.758,0.639,4.113,4.879,6.440,8.882,10.887,17.158,68.737,0.174
500,300.000,5.586,0.653,3.971,4.837,6.288,8.570,10.821,18.216,73.002,0.179
505,300.000,5.810,0.633,4.023,4.874,6.244,8.450,10.393,17.874,215.701,0.172
510,300.000,6.918,0.590,4.560,6.015,8.430,10.722,12.471,24.636,74.706,0.145
515,300.000,5.880,0.625,4.077,4.867,6.326,8.618,10.937,21.661,81.789,0.170
520,300.000,5.690,0.634,4.032,4.829,6.382,8.921,11.105,18.253,73.268,0.176
525,300.000,5.407,0.664,3.977,4.676,6.111,8.121,10.111,15.693,65.249,0.185
530,300.000,5.111,0.628,3.931,4.538,5.812,7.783,9.613,14.360,31.921,0.196
535,300.000,5.855,0.621,4.023,4.841,6.366,8.849,11.333,28.045,64.319,0.171
540,300.000,8.444,0.602,4.650,6.578,10.441,14.520,17.636,32.501,118.764,0.118
545,300.000,5.702,0.611,4.091,4.862,6.741,9.560,11.134,14.874,27.461,0.175
550,300.000,5.281,0.650,4.009,4.736,6.087,8.239,10.168,13.640,25.356,0.189
555,300.000,5.359,0.648,3.943,4.740,6.320,8.453,10.443,13.595,23.270,0.187
560,300.000,5.360,0.621,3.954,4.615,6.246,8.487,11.119,15.222,24.097,0.187
565,300.000,5.152,0.620,3.961,4.642,6.054,7.914,9.505,14.109,24.030,0.194
570,300.000,5.900,0.645,4.084,4.953,6.567,9.479,12.215,20.254,71.022,0.169
575,300.000,6.646,0.641,4.582,6.032,8.492,10.661,12.211,17.382,25.238,0.150
580,300.000,5.484,0.607,3.966,4.645,6.111,7.896,10.222,18.683,74.156,0.182
585,300.000,5.364,0.611,4.021,4.707,6.165,8.526,10.431,14.202,26.551,0.186
590,300.000,7.146,0.639,4.170,5.563,7.482,9.996,13.368,58.915,82.903,0.140
595,299.800,6.717,0.612,4.230,5.335,6.781,9.359,12.257,55.443,93.020,0.149
